epoch_min,day,month,day,dow,hour,min,headcount_unique, total_wait_time
17685,25466567,6,3,7,2,47,39,16.076923370361328
17708,25500448,6,26,2,15,28,8,14.5
17687,25470503,6,5,2,20,23,70,20.314285278320312
17691,25476451,6,9,6,23,31,54,16.16666603088379
17710,25502625,6,28,4,3,45,29,13.931034088134766
17696,25483565,6,14,4,22,5,71,14.422534942626953
17709,25501334,6,27,3,6,14,41,7.658536434173584
17687,25469745,6,5,2,7,45,2,43.0
17699,25487520,6,17,7,16,0,56,17.196428298950195
17687,25469670,6,5,2,6,30,12,9.5
17685,25467398,6,3,7,16,38,84,14.321428298950195
17695,25481277,6,13,3,7,57,5,9.800000190734863
17690,25474273,6,8,5,11,13,106,20.452829360961914
17698,25485527,6,16,6,6,47,14,5.714285850524902
17704,25494289,6,22,5,8,49,1,12.0
17689,25473079,6,7,4,15,19,126,15.865078926086426
17691,25475194,6,9,6,2,34,79,18.59493637084961
17692,25477830,6,10,7,22,30,49,18.93877601623535
17702,25491942,6,20,3,17,42,4,6.5
17706,25497047,6,24,7,6,47,9,7.777777671813965
17707,25499198,6,25,1,18,38,68,18.676469802856445
17706,25497126,6,24,7,8,6,6,26.66666603088379
17708,25499536,6,26,2,0,16,61,15.016393661499023
17690,25474074,6,8,5,7,54,7,36.85714340209961
17690,25473604,6,8,5,0,4,64,16.1875
17696,25483465,6,14,4,20,25,70,15.114285469055176
17698,25486089,6,16,6,16,9,61,16.327869415283203
17688,25470892,6,6,3,2,52,25,19.84000015258789
17698,25486445,6,16,6,22,5,34,20.441177368164062
17703,25493112,6,21,4,13,12,160,14.206250190734863
17691,25476148,6,9,6,18,28,29,22.20689582824707
17693,25478819,6,11,1,14,59,125,17.399999618530273
17686,25469056,6,4,1,20,16,107,17.028038024902344
17688,25471966,6,6,3,20,46,88,17.477272033691406
17708,25500351,6,26,2,13,51,74,16.58108139038086
17688,25471693,6,6,3,16,13,52,18.80769157409668
17708,25500332,6,26,2,13,32,97,18.113401412963867
17689,25473382,6,7,4,20,22,93,17.698925018310547
17690,25473714,6,8,5,1,54,97,17.76288604736328
17696,25482975,6,14,4,12,15,71,12.22535228729248
17710,25503704,6,28,4,21,44,66,18.65151596069336
17693,25478053,6,11,1,2,13,100,16.65999984741211
17696,25482326,6,14,4,1,26,52,19.980770111083984
17687,25469900,6,5,2,10,20,1,45.0
17705,25496611,6,23,6,23,31,78,13.166666984558105
17685,25466835,6,3,7,7,15,4,29.0
17700,25488125,6,18,1,2,5,59,19.06779670715332
17693,25478664,6,11,1,12,24,138,14.594202995300293
17700,25489225,6,18,1,20,25,94,17.542552947998047
17707,25498112,6,25,1,0,32,80,16.887500762939453
17687,25470202,6,5,2,15,22,83,15.481927871704102
17690,25473713,6,8,5,1,53,88,18.386363983154297
17696,25483162,6,14,4,15,22,88,16.920454025268555
17698,25485585,6,16,6,7,45,2,43.0
17706,25496852,6,24,7,3,32,43,12.488371849060059
17706,25497661,6,24,7,17,1,48,16.60416603088379
17683,25464865,6,1,5,22,25,65,17.046154022216797
17707,25499199,6,25,1,18,39,68,18.47058868408203
17686,25468072,6,4,1,3,52,47,15.042552947998047
17710,25503371,6,28,4,16,11,45,16.155555725097656
17703,25492532,6,21,4,3,32,25,18.479999542236328
17683,25464364,6,1,5,14,4,46,17.282608032226562
17709,25502322,6,27,3,22,42,11,18.454545974731445
17685,25467066,6,3,7,11,6,9,20.0
17686,25469009,6,4,1,19,29,47,22.53191566467285
17688,25470878,6,6,3,2,38,33,18.57575798034668
17689,25472567,6,7,4,6,47,4,11.0
17700,25488072,6,18,1,1,12,84,17.702381134033203
17683,25464798,6,1,5,21,18,64,16.40625
17703,25492744,6,21,4,7,4,9,27.11111068725586
17701,25490787,6,19,2,22,27,50,19.3799991607666
17698,25485849,6,16,6,12,9,170,15.470588684082031
17700,25488123,6,18,1,2,3,56,19.25
17711,25503879,6,29,5,0,39,69,12.768115997314453
17704,25494111,6,22,5,5,51,36,14.166666984558105
17693,25479222,6,11,1,21,42,10,21.0
17708,25499718,6,26,2,3,18,20,21.850000381469727
17700,25488040,6,18,1,0,40,40,26.274999618530273
17710,25503657,6,28,4,20,57,63,17.603174209594727
17708,25500194,6,26,2,11,14,52,14.865385055541992
17686,25467871,6,4,1,0,31,68,17.0
17686,25468045,6,4,1,3,25,51,14.647058486938477
17690,25474286,6,8,5,11,26,91,16.010988235473633
17694,25480151,6,12,2,13,11,23,15.434782981872559
17709,25501992,6,27,3,17,12,95,15.105262756347656
17700,25489197,6,18,1,19,57,68,18.397058486938477
17693,25478620,6,11,1,11,40,92,14.163043022155762
17700,25489221,6,18,1,20,21,91,18.505495071411133
17706,25497055,6,24,7,6,55,4,4.5
17690,25475033,6,8,5,23,53,43,19.0930233001709
